	log2.quantNorm.TPM.centroid
A2ML1	0.399566648099628
ABCA8	1.93965681540398
ABCC3	2.3599694354335
ABCC6	1.26983631010278
ABO	0.720702739785915
ACER1	0.493223973800604
ACOT11	1.19651101927606
ACOX2	2.08449724362915
ACSBG1	0.468580504600951
ACSF2	3.29114014953908
ACSS3	1.74106857250334
ACTA2	9.81441256188794
ACTC1	1.97806463073752
ACTG2	9.60260846666074
ADAD2	0.174391832230868
ADAM28	1.36696224413449
ADAM33	2.60786831489537
ADCY5	2.46014492054649
ADORA2B	1.04012442501377
ADRA1A	0.980331726108536
ADRA1D	0.778848851138564
ADRA2C	2.46568563546461
AFAP1L2	2.99364966229347
AHNAK2	1.67027827887146
AIFM3	0.663267203920791
AIM1L	0.157858440854761
AJAP1	0.603754361587715
ALDH1A2	3.01470496635728
ALDH1L1	3.4264261009093
ALDH3A1	0.695015825559518
ALOX12P2	0.399750733553864
ALOX15B	5.94858117968219
AMICA1	2.43458736986628
AMN	0.173451251784138
AMT	3.22433613324754
ANGPT1	2.18621519616825
ANGPTL1	1.2366803803095
ANGPTL4	3.08184877113754
ANKRD35	1.71562259516315
ANKRD53	0.514505150151303
ANO4	1.64733442083714
ANO5	1.05384327503546
ANO9	1.98769878113571
ANPEP	5.80744080523457
ANXA8L2	1.41262452338189
ANXA8	1.94479321360421
AOC3	4.74058488558565
AOX1	2.62829702749779
APCDD1L	0.153026072286996
APOBEC3C	3.43441858646699
APOBEC3D	1.20773958479116
APOBEC3F	2.60375490635057
APOBEC3G	2.60133001120097
AQP5	0.342905195078458
AREG	1.14314364867604
ARHGAP20	0.862015017781548
ARHGAP22	1.31693923289738
ARHGAP23	2.67874922248887
ARL4D	2.62470436923515
ARMCX1	3.61109570685824
ART5	0.569345341131621
ASB2	2.91907882615884
ASCL2	0.921273169979582
ASPA	0.706119605942816
ASXL3	0.243145333807165
ATAD3C	1.00273769080593
ATCAY	1.0267726561778
ATOH8	2.36902067930679
ATP1A2	2.90495961197173
ATP2B4	4.40677243095076
ATP6V0A4	0.0836506724144393
ATP6V0D2	0.354511887031796
AVPI1	3.70268779557123
AZGP1	10.2238738042553
B3GALT2	0.954266531643811
B3GNT3	1.02677347855776
B3GNT8	1.29008991472963
BAI3	0.197574767028902
BCL11A	1.72835581502117
BCL11B	0.498345646129924
BCL2	2.54818915991524
BDNF	0.584636541492301
BEND5	1.92504814117022
BEX1	1.72539598359325
BHMT2	2.03564352406553
BMP3	0.389799257165057
BMP7	2.27533713123671
BNC1	0.161102244848425
BNIPL	1.2987363128221
C10ORF55	0.179420023944752
C10ORF82	0.184556405134992
C10ORF99	0.0485285345215789
C11ORF45	0.648608628495011
C11ORF70	1.50112569966443
C12ORF54	0.192902633943932
C14ORF64	0.240292523644635
C16ORF74	1.76286604272359
C16ORF89	1.68332657196459
C19ORF33	3.76834958375772
C1ORF106	1.75580313038383
C1ORF95	1.04955060521227
C22ORF42	0.174673178334746
C2ORF88	1.03500437775815
C3ORF70	1.88501573282875
C3	5.66653540815635
C4ORF19	0.903891246017143
C6ORF123	0.186817819865017
C7	4.39242350954231
CA11	2.97176778545226
CA14	0.727049567661799
CABP1	0.837967611788273
CACHD1	2.3446370238029
CACNA1B	0.251124699971485
CACNA2D3	0.464992510939843
CACNG4	3.37630916981308
CADM3	0.951212006839505
CALCA	1.59183066701398
CALML3	1.63601822717369
CAPG	5.34026570069302
CAPN13	1.54187448315857
CAPN6	1.39252127776058
CAPN8	0.383297956257171
CAPNS2	0.63116051037441
CARTPT	0.74085478708939
CASP1	2.91469053119379
CAV1	5.0772206278282
CAV2	3.29074915486446
CCBE1	0.411439563937669
CCDC60	0.935486941720344
CCDC68	1.18090036379888
CCDC85A	0.705383803910802
CCDC8	2.19790566350126
CCK	2.40247101524679
CCL20	1.09985521325786
CCL23	1.38922555456062
CCL2	5.6346459076575
CCNI2	0.216240764725022
CCNJL	0.741596794976736
CD177	3.90960506880052
CD1C	0.809840786424936
CD1E	0.943753555457341
CD207	1.48044327023966
CD38	3.8762980136236
CD40	3.47962532278028
CD8A	2.09589950789724
CDC42EP5	5.27672968729834
CDH17	0.311565941790917
CDH18	0.0501791295759807
CDH19	0.339251856094432
CDH22	0.685942356008024
CDH3	3.88520046463831
CDHR1	0.521373617254096
CEACAM1	3.83458960216361
CEACAM6	1.23459512641227
CEND1	1.01740910405382
CES1	4.32515674831043
CFB	5.25071079809345
CFC1B	2.02496179800652
CFTR	1.22571501652198
CGB7	0.324025461677076
CHAD	0.442395806296029
CHGA	3.54255896517683
CHI3L2	1.69221283910045
CHL1	1.29516120752807
CHODL	1.29634799983228
CHP2	0.588340827601161
CHRDL1	4.36499955646601
CHRFAM7A	0.647915804955917
CHRNA7	0.481957872425449
CHST2	2.62062869775247
CHST9	0.596909464458071
CKM	1.2289842973322
CLCA2	0.251612048172994
CLCA4	0.278434595261486
CLCNKB	0.232791386841066
CLDN10	0.55195134519271
CLDN11	2.41089399613804
CLDN1	3.73605618656081
CLEC10A	1.86360292556451
CLEC3A	0.227112858138487
CLEC4F	0.487957707750738
CLEC9A	0.384133543102965
CLIC3	1.69162591958568
CLIC6	2.13811739280234
CLSTN2	0.620722112358778
CLVS2	0.347674197934002
CMTM5	0.433333556836261
CNN1	8.17737025382483
COL13A1	1.17179165581367
COL17A1	3.44199990307481
COL22A1	1.36546371909136
COL23A1	1.18885921829749
COL27A1	2.01933826974934
COL4A6	2.45384411875746
COL7A1	2.60834943135151
COL9A1	0.654877291721571
CPA6	1.13148993023169
CPAMD8	4.14639383623695
CPM	2.86718620654552
CPNE6	0.802637820960122
CPXM1	2.39117612543346
CP	3.10891457313269
CRABP2	4.367656368769
CRHR1	0.362068880227817
CRIP3	0.954536460954711
CRTAC1	0.853022799883117
CSTA	3.12520736839481
CTF1	2.64047645197859
CTSG	1.07849985233118
CX3CL1	4.79360741049361
CXCL17	2.86023504710866
CXCL1	2.38423254234853
CXCL2	2.03704560157418
CXCL3	0.710236410605179
CXCL5	0.334284534209134
CXCL6	1.37148594497681
CXCR2	0.274766338646655
CXORF57	0.339855743841527
CYP11A1	0.387297321285346
CYP24A1	0.412831900899122
CYP27A1	4.35852722518431
CYP27C1	0.167374295896984
CYP2S1	0.987598055870854
CYP2W1	0.406591431160085
CYP3A5	1.79225498563035
CYP3A7	0.0913593514876769
CYP4B1	2.46115814685836
CYP4F12	1.38471320672862
CYP4F22	0.367010355283339
CYP4F2	0.352945748572415
CYP4F3	0.174203774999526
CYTL1	1.82146037009939
DAB1	0.414916061055098
DACH2	0.143859412449496
DACT2	3.22312016163918
DAPL1	0.957587327829639
DCHS2	0.264592030477213
DEFB1	3.41258333911569
DEPDC7	0.733456855460096
DES	9.15956510991372
DIRAS3	1.68242947011212
DKK1	1.74608502709593
DLEC1	0.453408258067444
DLK2	2.75101542605589
DLX3	0.494400760931124
DMBT1	0.146650675132769
DMKN	3.79965763479413
DNAH11	0.104261967112197
DNASE1L3	1.20122950632989
DPT	2.843617911826
DPYS	0.812430529504975
DRD1	0.429220268451682
DSC3	2.00440888067838
DSG3	0.204118188315532
DUOX1	1.7522707497308
DUOX2	0.429930212269047
DUOXA1	1.56641868211336
DUOXA2	0.420705800053873
DUSP15	1.08657001578136
EDAR	0.276200293302902
EDN3	0.721670421608317
EDNRA	3.64530131541579
EFCAB1	1.23608175905932
EFEMP1	4.54317000629791
EFNA5	1.6467391590487
EFNB3	1.52839692122002
EFS	3.50471863494502
EGOT	0.21943195131797
EMR3	0.0889315725913989
ENHO	2.4429557006655
ENPP6	0.721188524376768
EPHA2	2.2224806036638
EPHA5	0.692855861160453
EPHB1	0.440574423398697
EPHB6	4.3785080732078
EPHX3	0.634358309499042
EPSTI1	1.8638927169359
ERN2	0.371519106647469
ESPNL	0.312420519515342
ETS2	4.88249864476476
EVC2	1.16565879115108
EVPLL	0.213074049504486
EVX2	0.0716890423491592
EYA4	1.02535265034077
FAM107A	3.97649909531008
FAM124A	1.45614045871851
FAM153A	0.564214642491079
FAM167A	0.837176614065597
FAM178B	0.561669270737971
FAM196B	0.0632712011909434
FAM46B	2.38988725713812
FAM83B	0.4283322801726
FAM83C	0.0648805792983111
FAM90A1	0.230600428435584
FAT2	0.996000111878041
FAT3	0.561458619790458
FBN3	0.283066738507037
FBXO17	2.65098136473406
FBXO2	2.99795288250112
FCER1A	2.00637898254455
FCGBP	1.30409527982716
FER1L5	0.082851556876625
FERMT1	2.48097941910836
FGF10	0.648376687452967
FGF1	0.998513844603095
